run,dataset
385178,/StreamExpress/Run2024G-Express-v1/DQMIO/
385194,/StreamExpress/Run2024G-Express-v1/DQMIO/
385281,/StreamExpress/Run2024G-Express-v1/DQMIO/
385286,/StreamExpress/Run2024G-Express-v1/DQMIO/
385311,/StreamExpress/Run2024G-Express-v1/DQMIO/
385312,/StreamExpress/Run2024G-Express-v1/DQMIO/
385354,/StreamExpress/Run2024G-Express-v1/DQMIO/
385355,/StreamExpress/Run2024G-Express-v1/DQMIO/
387474,/StreamExpress/Run2024J-Express-v1/DQMIO/
387506,/StreamExpress/Run2024J-Express-v1/DQMIO/
