label,tcc,tt_ccu,x_phi,y_eta,status
EB-06,42,68,116.0,-85.0,10.0
EB-10,46,66,190.0,-85.0,3.0
EB-10,46,67,191.0,-85.0,13.0
EB-10,46,67,192.0,-85.0,13.0
EB-10,46,67,193.0,-85.0,13.0
EB-10,46,67,194.0,-85.0,13.0
EB-10,46,67,195.0,-85.0,13.0
EB-05,41,66,90.0,-84.0,4.0
EB-10,46,67,191.0,-84.0,13.0
EB-10,46,67,192.0,-84.0,13.0
EB-10,46,67,193.0,-84.0,13.0
EB-10,46,67,194.0,-84.0,13.0
EB-10,46,67,195.0,-84.0,13.0
EB-10,46,67,191.0,-83.0,13.0
EB-10,46,67,192.0,-83.0,13.0
EB-10,46,67,193.0,-83.0,13.0
EB-10,46,67,194.0,-83.0,13.0
EB-10,46,67,195.0,-83.0,13.0
EB-16,52,66,306.0,-83.0,11.0
EB-10,46,67,191.0,-82.0,13.0
EB-10,46,67,192.0,-82.0,13.0
EB-10,46,67,193.0,-82.0,13.0
EB-10,46,67,194.0,-82.0,13.0
EB-10,46,67,195.0,-82.0,13.0
EB-10,46,67,191.0,-81.0,13.0
EB-10,46,67,192.0,-81.0,13.0
EB-10,46,67,193.0,-81.0,13.0
EB-10,46,67,194.0,-81.0,13.0
EB-10,46,67,195.0,-81.0,13.0
EB-05,41,64,97.0,-80.0,11.0
EB-11,47,64,217.0,-80.0,4.0
EB-15,51,62,287.0,-79.0,2.0
EB-11,47,64,216.0,-78.0,4.0
EB-09,45,62,170.0,-77.0,2.0
EB-10,46,64,198.0,-77.0,11.0
EB-01,37,61,1.0,-76.0,12.0
EB-01,37,61,2.0,-76.0,12.0
EB-01,37,61,3.0,-76.0,12.0
EB-01,37,61,4.0,-76.0,12.0
EB-01,37,61,5.0,-76.0,12.0
EB-03,39,62,48.0,-76.0,4.0
EB-06,42,59,114.0,-75.0,2.0
EB-11,47,60,216.0,-75.0,12.0
EB-11,47,60,217.0,-75.0,12.0
EB-11,47,60,218.0,-75.0,12.0
EB-11,47,60,219.0,-75.0,12.0
EB-11,47,60,220.0,-75.0,12.0
EB-11,47,60,216.0,-74.0,12.0
EB-11,47,60,217.0,-74.0,12.0
EB-11,47,60,218.0,-74.0,12.0
EB-11,47,60,219.0,-74.0,12.0
EB-11,47,60,220.0,-74.0,12.0
EB-11,47,60,216.0,-73.0,12.0
EB-11,47,60,217.0,-73.0,12.0
EB-11,47,60,218.0,-73.0,12.0
EB-11,47,60,219.0,-73.0,12.0
EB-11,47,60,220.0,-73.0,12.0
EB-10,46,58,186.0,-72.0,4.0
EB-03,39,55,51.0,-70.0,13.0
EB-03,39,55,52.0,-70.0,13.0
EB-03,39,55,53.0,-70.0,13.0
EB-03,39,55,54.0,-70.0,13.0
EB-03,39,55,55.0,-70.0,13.0
EB-07,43,55,133.0,-70.0,4.0
EB-09,45,55,171.0,-70.0,14.0
EB-09,45,55,172.0,-70.0,14.0
EB-09,45,55,173.0,-70.0,14.0
EB-09,45,55,174.0,-70.0,14.0
EB-09,45,55,175.0,-70.0,14.0
EB-16,52,53,301.0,-70.0,13.0
EB-16,52,53,302.0,-70.0,13.0
EB-16,52,53,303.0,-70.0,13.0
EB-16,52,53,304.0,-70.0,13.0
EB-16,52,53,305.0,-70.0,13.0
EB-16,52,56,318.0,-70.0,2.0
EB-03,39,55,51.0,-69.0,13.0
EB-03,39,55,52.0,-69.0,13.0
EB-03,39,55,53.0,-69.0,13.0
EB-03,39,55,54.0,-69.0,13.0
EB-03,39,55,55.0,-69.0,13.0
EB-09,45,55,171.0,-69.0,14.0
EB-09,45,55,172.0,-69.0,14.0
EB-09,45,55,173.0,-69.0,14.0
